time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain
2025-01-15 13:00:00,9.9,1027.6,36.0,0.0,15.865463,1027.2855,32.524475,0.010910486
2025-01-15 14:00:00,11.6,1026.1,30.0,0.0,16.800684,1026.5807,30.56431,0.009338648
2025-01-15 15:00:00,11.3,1025.3,29.0,0.0,17.007668,1026.0862,30.215073,0.008884707
2025-01-15 16:00:00,10.5,1025.1,31.0,0.0,16.673956,1025.8588,31.05938,0.009295317
2025-01-15 17:00:00,8.1,1025.5,42.0,0.0,16.041704,1025.7316,32.58139,0.010276826
2025-01-15 18:00:00,4.9,1025.7,40.0,0.0,13.577977,1025.832,38.24391,0.014136269
2025-01-15 19:00:00,3.0,1025.0,38.0,0.0,11.479258,1026.3092,42.393906,0.017522914
2025-01-15 20:00:00,3.0,1025.2,38.0,0.0,9.776651,1026.5608,46.418327,0.022796348
2025-01-15 21:00:00,3.1,1025.6,39.0,0.0,6.0605745,1026.564,56.46867,0.022196924
2025-01-15 22:00:00,3.0,1024.5,39.0,0.0,4.6699533,1027.0485,61.423843,0.022758523
2025-01-15 23:00:00,2.9,1024.1,39.0,0.0,4.1357017,1026.7872,63.596313,0.023772027
2025-01-16 00:00:00,3.1,1023.6,37.0,0.0,4.65594,1027.1548,61.86795,0.024574608
2025-01-16 01:00:00,2.7,1023.1,38.0,0.0,5.9753494,1027.7316,56.914024,0.026136894
2025-01-16 02:00:00,2.8,1022.8,40.0,0.0,7.4666014,1028.035,52.825806,0.027132954
2025-01-16 03:00:00,2.7,1022.5,40.0,0.0,8.090836,1028.0923,50.982338,0.027253954
2025-01-16 04:00:00,2.6,1022.5,41.0,0.0,8.496679,1028.192,49.615475,0.027118035
2025-01-16 05:00:00,2.4,1022.5,42.0,0.0,9.345048,1028.2402,47.040253,0.027521567
2025-01-16 06:00:00,2.2,1022.3,43.0,0.0,9.455949,1027.8489,46.62588,0.028014649
2025-01-16 07:00:00,2.0,1022.3,44.0,0.0,9.123086,1027.3689,47.417374,0.028519278
2025-01-16 08:00:00,1.9,1022.5,46.0,0.0,8.682157,1026.9897,48.51666,0.02853088
2025-01-16 09:00:00,1.7,1023.0,49.0,0.0,8.417131,1026.9033,49.144173,0.028281676
2025-01-16 10:00:00,4.1,1023.8,49.0,0.0,8.894803,1026.7842,47.779232,0.028899824
2025-01-16 11:00:00,7.4,1024.4,50.0,0.0,10.507923,1026.4952,43.895126,0.02272245
2025-01-16 12:00:00,8.7,1024.0,42.0,0.0,12.279,1025.7999,39.7895,0.016207509
2025-01-16 13:00:00,9.2,1023.0,43.0,0.0,14.240673,1025.2897,35.708485,0.012426886
2025-01-16 14:00:00,10.4,1021.9,39.0,0.0,15.263007,1024.2491,34.041756,0.011394467
2025-01-16 15:00:00,10.1,1021.3,40.0,0.0,15.92525,1023.1354,32.994373,0.010903006
2025-01-16 16:00:00,9.6,1021.4,43.0,0.0,15.719822,1022.4647,33.758373,0.011525163
2025-01-16 17:00:00,8.6,1022.4,46.0,0.0,14.783505,1022.48694,36.05566,0.013360427
2025-01-16 18:00:00,6.2,1023.1,59.0,0.0,12.143157,1023.1962,41.922962,0.01860384
2025-01-16 19:00:00,6.4,1023.5,60.0,0.0,10.536264,1024.749,44.971275,0.02143005
2025-01-16 20:00:00,5.3,1025.1,61.0,0.0,9.521282,1025.5422,47.5488,0.023896115
2025-01-16 21:00:00,4.1,1027.0,69.0,0.0,8.788695,1025.9103,49.451103,0.024989989
2025-01-16 22:00:00,3.7,1027.7,74.0,0.0,8.224535,1025.9816,50.91382,0.026059581
2025-01-16 23:00:00,2.9,1028.5,77.0,0.0,7.5858173,1025.2687,52.613754,0.027286638
2025-01-17 00:00:00,2.2,1029.2,81.0,0.0,6.606735,1024.6681,55.284588,0.02863224
2025-01-17 01:00:00,1.8,1029.5,84.0,0.0,6.081997,1024.2461,56.730267,0.030234799
2025-01-17 02:00:00,1.2,1029.2,83.0,0.0,5.2547655,1023.784,60.0004,0.029489737
2025-01-17 03:00:00,1.0,1029.1,83.0,0.0,4.7633457,1023.5595,62.230034,0.029336702
2025-01-17 04:00:00,1.2,1029.5,77.0,0.0,4.6099644,1023.3594,63.488144,0.03062837
2025-01-17 05:00:00,1.1,1030.0,72.0,0.0,4.4881506,1023.24066,64.53593,0.03198414
2025-01-17 06:00:00,0.7,1030.3,75.0,0.0,4.4285774,1023.2379,64.91424,0.032535724
2025-01-17 07:00:00,0.9,1030.7,77.0,0.0,4.414709,1023.1439,65.184944,0.033395417
2025-01-17 08:00:00,0.8,1031.3,80.0,0.0,4.380951,1023.14166,65.47818,0.03398956
2025-01-17 09:00:00,0.6,1031.5,81.0,0.0,4.3048224,1023.26514,65.73296,0.03398229
2025-01-17 10:00:00,2.7,1031.5,71.0,0.0,4.161806,1023.5005,65.924614,0.033232413
2025-01-17 11:00:00,4.5,1031.7,65.0,0.0,5.552493,1023.7067,59.097427,0.03215352
2025-01-17 12:00:00,5.6,1031.3,63.0,0.0,8.709257,1023.92773,50.625465,0.03664914
2025-01-17 13:00:00,6.4,1030.7,61.0,0.0,12.095412,1023.59985,43.226177,0.029208362
2025-01-17 14:00:00,7.2,1029.7,57.0,0.0,13.682057,1022.49445,40.300488,0.024164451
2025-01-17 15:00:00,7.7,1029.1,55.0,0.0,14.691998,1021.0561,38.47062,0.02147841
2025-01-17 16:00:00,7.5,1029.2,55.0,0.0,14.041873,1019.748,39.897636,0.02244164
2025-01-17 17:00:00,7.1,1029.2,55.0,0.0,12.387117,1019.2461,43.136585,0.025451161
2025-01-17 18:00:00,4.6,1029.3,69.0,0.0,10.943383,1019.6059,46.039257,0.02915835
2025-01-17 19:00:00,3.3,1029.4,72.0,0.0,7.7291,1020.38165,54.30195,0.028691141
2025-01-17 20:00:00,2.9,1029.5,74.0,0.0,7.8718977,1020.76044,54.03764,0.031236969
2025-01-17 21:00:00,1.9,1029.8,78.0,0.0,7.1877584,1022.1843,56.829437,0.031113487
2025-01-17 22:00:00,1.4,1030.1,79.0,0.0,6.0865116,1024.457,61.452343,0.03202077
2025-01-17 23:00:00,0.6,1030.2,82.0,0.0,6.022575,1025.9586,61.106976,0.0306821
2025-01-18 00:00:00,-0.3,1030.2,88.0,0.0,5.7344637,1026.8715,62.16006,0.029063875
2025-01-18 01:00:00,-0.3,1030.0,87.0,0.0,5.1034746,1027.8678,64.46893,0.027451066
2025-01-18 02:00:00,-0.8,1029.4,85.0,0.0,5.108012,1028.8433,63.647034,0.025779435
2025-01-18 03:00:00,-0.2,1029.4,80.0,0.0,5.3475914,1029.3185,61.936577,0.024693632
2025-01-18 04:00:00,-0.1,1029.4,79.0,0.0,5.2204175,1029.5985,62.186855,0.024012696
2025-01-18 05:00:00,-0.9,1028.8,84.0,0.0,6.1972523,1030.1201,58.216915,0.02508019
2025-01-18 06:00:00,-1.5,1028.1,88.0,0.0,6.607995,1030.2743,56.42986,0.025420668
2025-01-18 07:00:00,-1.9,1027.4,90.0,0.0,5.637721,1030.3722,59.724026,0.023625448
2025-01-18 08:00:00,-1.9,1027.5,91.0,0.0,5.283269,1030.6863,60.779037,0.02292156
2025-01-18 09:00:00,-1.5,1027.5,90.0,0.0,4.4127245,1030.9022,64.13249,0.021834921
