time,actual_temp,actual_pressure,actual_humidity,pred24_temp,pred24_pressure,pred24_humidity,pred48_temp,pred48_pressure,pred48_humidity,pred72_temp,pred72_pressure,pred72_humidity
2025-02-07 22:00:00,4.5,1017.2,94.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-07 23:00:00,5.2,1017.0,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 00:00:00,5.6,1016.9,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 01:00:00,5.7,1017.7,91.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 02:00:00,4.0,1019.2,86.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 03:00:00,3.1,1020.0,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 04:00:00,3.5,1020.2,91.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 05:00:00,3.2,1020.5,92.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 06:00:00,2.7,1021.0,92.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 07:00:00,1.9,1021.6,92.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 08:00:00,0.5,1022.2,92.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 09:00:00,0.4,1022.9,94.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 10:00:00,3.5,1023.6,82.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 11:00:00,5.9,1023.6,68.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 12:00:00,7.5,1023.4,58.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 13:00:00,8.7,1023.2,52.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 14:00:00,9.4,1022.9,49.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 15:00:00,10.2,1022.3,45.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 16:00:00,10.6,1022.1,42.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 17:00:00,10.4,1022.3,40.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 18:00:00,8.3,1022.9,59.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 19:00:00,4.6,1023.8,64.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 20:00:00,3.4,1024.6,72.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 21:00:00,2.1,1024.9,77.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 22:00:00,2.0,1025.2,74.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-08 23:00:00,2.5,1025.4,67.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-09 00:00:00,3.1,1025.6,57.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-09 01:00:00,3.4,1025.9,54.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-09 02:00:00,4.3,1025.7,62.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-09 03:00:00,4.5,1025.8,68.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-02-09 04:00:00,4.0,1025.9,78.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
