time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain,pred48_temp,pred48_pressure,pred48_humidity,pred48_rain,pred72_temp,pred72_pressure,pred72_humidity,pred72_rain
2025-02-02 15:00:00,8.2,1019.7,55.0,0.0,21.246595,1016.577,28.739027,0.015181924,24.57533,1017.51044,25.706171,0.03233564,20.705397,1015.5517,32.461082,0.024019262
2025-02-02 16:00:00,7.3,1019.8,67.0,0.0,21.675508,1015.7987,28.389929,0.016352447,25.620548,1016.69696,23.478998,0.029445976,21.874506,1015.0818,29.719156,0.0213819
2025-02-02 17:00:00,6.1,1020.5,75.0,0.1,22.761185,1015.11365,27.210852,0.017109517,26.277382,1016.23096,22.274265,0.027427753,22.93926,1014.5266,27.396032,0.019341882
2025-02-02 18:00:00,5.3,1020.7,82.0,0.1,22.609331,1014.7618,28.54197,0.018793091,25.820433,1016.5856,23.80005,0.027442403,23.2391,1014.2649,26.737556,0.018798586
2025-02-02 19:00:00,4.3,1021.0,88.0,0.2,21.233862,1014.981,32.821526,0.023131497,23.167234,1018.0176,29.90574,0.033092137,22.30237,1014.4967,29.17952,0.020079225
2025-02-02 20:00:00,3.8,1021.5,89.0,0.2,18.600933,1015.9844,39.773636,0.031449787,19.295317,1019.7856,38.177948,0.047017522,20.036308,1015.7502,34.67368,0.023553602
2025-02-02 21:00:00,3.2,1021.7,91.0,0.0,17.711275,1017.0677,44.12243,0.035291966,16.17102,1020.82056,44.581783,0.05806622,17.769432,1017.2393,40.202522,0.02759735
2025-02-02 22:00:00,3.2,1022.0,90.0,0.0,16.343214,1017.562,49.54742,0.03914265,13.1115,1021.12805,50.803787,0.06515873,15.908554,1018.44244,44.838997,0.03219561
2025-02-02 23:00:00,3.2,1022.5,90.0,0.0,13.9759035,1017.6878,56.124123,0.049124695,11.504078,1021.18353,54.109756,0.06921059,13.917845,1019.35254,49.23618,0.036918513
2025-02-03 00:00:00,2.7,1022.9,91.0,0.0,11.508507,1017.80133,62.39894,0.061320342,11.100712,1021.18225,54.982822,0.06990517,12.219574,1019.90985,53.214245,0.03946431
2025-02-03 01:00:00,2.4,1023.5,89.0,0.0,9.564981,1018.0919,66.956696,0.069680296,10.615709,1021.23553,55.975548,0.07199975,11.825159,1020.1793,54.389465,0.039615124
2025-02-03 02:00:00,3.1,1023.7,82.0,0.0,7.969393,1018.1971,70.413536,0.07785147,10.475098,1021.1635,56.135147,0.07358239,12.058847,1020.29645,53.967495,0.038867783
2025-02-03 03:00:00,2.7,1023.7,80.0,0.0,7.0284996,1018.0565,72.15937,0.0832631,10.694729,1020.8786,55.29589,0.074590996,12.536289,1020.34,52.943386,0.037675694
2025-02-03 04:00:00,1.9,1024.0,81.0,0.0,5.829086,1017.64453,74.59034,0.096145235,10.254417,1020.6176,56.117622,0.07820055,12.747162,1020.4181,52.378334,0.037294533
2025-02-03 05:00:00,1.4,1024.1,80.0,0.0,5.1702924,1017.5195,75.19143,0.09847175,10.215981,1020.3643,56.029266,0.07974281,11.6701355,1020.54034,54.647022,0.039338037
2025-02-03 06:00:00,0.8,1024.2,82.0,0.0,4.5091906,1017.14624,75.68944,0.10505864,9.802872,1020.1825,56.934,0.0824628,11.197115,1020.5947,55.69113,0.040050626
2025-02-03 07:00:00,0.1,1024.2,83.0,0.0,4.1330576,1016.932,74.75461,0.10387134,9.039986,1020.17444,58.819954,0.0858984,10.634453,1020.7351,57.120987,0.040781215
2025-02-03 08:00:00,-0.3,1024.9,83.0,0.0,3.9069781,1016.5666,73.24139,0.10301047,8.589985,1020.27423,60.04408,0.087052695,9.9387245,1020.8274,58.851387,0.041837078
2025-02-03 09:00:00,-0.1,1025.4,84.0,0.0,4.373164,1016.4876,69.14287,0.08968612,8.237978,1020.2652,60.87195,0.08855243,9.262163,1021.0824,60.78945,0.04240289
