time,temp_real,hum_real,rain_real,pres_real,wind_real,temp_pred_24,hum_pred_24,rain_pred_24,pres_pred_24,wind_pred_24,temp_pred_48,hum_pred_48,rain_pred_48,pres_pred_48,wind_pred_48,temp_pred_72,hum_pred_72,rain_pred_72,pres_pred_72,wind_pred_72
2025-02-06 12:00:00,9.4,52.0,0.0,1030.3,5.8,-0.8050106,-0.19731185,-0.2585651,2.0902097,-0.51831704,-0.8424361,0.17631748,-0.10835085,1.5264328,-0.44646883,-0.92765296,0.344627,-0.03369365,0.9003102,-0.07336413
2025-02-06 13:00:00,10.2,52.0,0.0,1029.4,7.3,-0.634848,-0.42485625,-0.25053114,2.015261,-0.39245656,-0.7523744,0.056725204,-0.09213564,1.496896,-0.33546147,-0.8213647,0.17889935,-0.026741335,0.935337,0.025875906
2025-02-06 14:00:00,11.1,51.0,0.0,1028.3,9.1,-0.5073116,-0.5906775,-0.24785315,1.9527879,-0.2797984,-0.67724425,-0.027063949,-0.08111839,1.4549406,-0.26166552,-0.7402859,0.03855107,-0.017630514,0.8903953,0.14145431
2025-02-06 15:00:00,11.4,49.0,0.0,1027.2,8.7,-0.36923596,-0.7066393,-0.24538668,1.8266625,-0.20559686,-0.57848966,-0.13003674,-0.07700412,1.3765914,-0.20574872,-0.5949568,-0.08901089,-0.0014319203,0.7624089,0.20866635
2025-02-06 16:00:00,11.4,48.0,0.0,1026.2,8.5,-0.27833605,-0.7889758,-0.25191352,1.7090528,-0.15741082,-0.4874152,-0.19744036,-0.07104102,1.2777028,-0.17520578,-0.47121271,-0.22117755,0.0020027526,0.6132514,0.28756472
2025-02-06 17:00:00,10.8,50.0,0.0,1025.8,8.7,-0.24785708,-0.7788587,-0.25668705,1.6216629,-0.15728089,-0.44060436,-0.22519605,-0.08443811,1.2243234,-0.19695485,-0.41922006,-0.261907,-0.0027847837,0.5061198,0.30314216
2025-02-06 18:00:00,8.9,60.0,0.0,1026.1,6.0,-0.30658948,-0.6759286,-0.26408377,1.5768303,-0.2193859,-0.47431847,-0.17901903,-0.104985654,1.2577341,-0.28238356,-0.47512063,-0.18778543,-0.012298512,0.48727465,0.23234202
2025-02-06 19:00:00,5.2,75.0,0.0,1026.3,4.8,-0.54742205,-0.29750904,-0.270044,1.6410406,-0.4274303,-0.6696341,0.07762124,-0.12500703,1.3476045,-0.4294322,-0.72056496,0.21061325,-0.0024915102,0.5630182,-0.034689605
2025-02-06 20:00:00,4.4,79.0,0.0,1026.0,4.4,-0.7625964,-0.09263117,-0.27594042,1.7631421,-0.45887154,-0.8277278,0.17219825,-0.148608,1.4818218,-0.47205323,-0.8272836,0.31084988,-0.022741517,0.64092404,-0.15814954
2025-02-06 21:00:00,2.1,82.0,0.0,1025.7,6.5,-0.97393364,0.1036059,-0.27227113,1.8517263,-0.3388834,-0.982035,0.2962473,-0.16899128,1.5683478,-0.4763761,-0.98731136,0.50524384,-0.051297233,0.68162733,-0.1801551
