Time,x,y,omega
409.367,-2.184218,1.5609253333333335,-0.43066893333333334
409.383,-2.184432,1.5619786666666668,-0.4355234666666667
409.4,-2.1849860000000003,1.5630886666666666,-0.4413791333333333
409.417,-2.1858733333333333,1.5642099999999999,-0.4470753333333333
409.433,-2.187059333333333,1.565372,-0.4518627333333333
409.45,-2.1885093333333336,1.5666133333333334,-0.4550374
409.467,-2.190227333333333,1.5679153333333333,-0.45969486666666665
409.483,-2.1922146666666666,1.5692733333333335,-0.46315306666666667
409.5,-2.1944686666666664,1.570712,-0.46752540000000004
409.517,-2.196988666666667,1.5722239999999998,-0.47121026666666666
409.533,-2.199766,1.5737873333333332,-0.4739144666666667
409.55,-2.2027886666666663,1.5754039999999998,-0.4763174
409.567,-2.206050666666667,1.5770693333333334,-0.47833366666666666
409.583,-2.2095446666666665,1.5787846666666667,-0.4803808
409.6,-2.213258666666667,1.5805446666666667,-0.4806881333333333
409.617,-2.21718,1.582352,-0.4821286
409.633,-2.2211213333333335,1.5841933333333331,-0.48913593333333333
409.65,-2.224906,1.5860706666666669,-0.496416
409.667,-2.2285306666666664,1.5880293333333335,-0.5035025333333334
409.683,-2.232012666666667,1.5900393333333334,-0.5100762666666667
409.7,-2.235371333333333,1.5920613333333333,-0.5181536
409.717,-2.2385906666666666,1.5941066666666666,-0.5246726666666667
409.733,-2.2416533333333333,1.5961726666666667,-0.5315522666666667
409.75,-2.244544,1.598256,-0.5386644666666667
409.767,-2.247252666666667,1.6003580000000002,-0.5495510666666666
409.783,-2.2497726666666664,1.6024793333333336,-0.5608388000000001
409.8,-2.2520966666666666,1.6045913333333333,-0.5717180666666667
409.817,-2.2542066666666667,1.6066973333333334,-0.5829546666666666
409.833,-2.256168,1.6088366666666665,-0.5907611333333332
409.85,-2.258043333333333,1.6109900000000001,-0.5985416666666665
409.867,-2.2598013333333333,1.613154,-0.6040544666666666
409.883,-2.2614206666666665,1.6153426666666668,-0.6091322666666666
409.9,-2.262888666666667,1.6175346666666668,-0.6128522000000001
409.917,-2.264186666666667,1.6197113333333333,-0.6151443333333333
409.933,-2.2653026666666665,1.6218380000000001,-0.6171292
409.95,-2.2662199999999997,1.6239133333333333,-0.6189783333333333
409.967,-2.2669473333333334,1.6259593333333333,-0.6197602
409.983,-2.2675013333333336,1.627944,-0.6208150666666666
410.0,-2.267863333333333,1.629862,-0.6200724000000001
410.017,-2.2680193333333336,1.6317186666666668,-0.6154106666666667
410.033,-2.2679726666666666,1.6334726666666666,-0.6102087333333334
410.05,-2.2677153333333333,1.6351493333333336,-0.6053453999999999
410.067,-2.2672426666666667,1.6367526666666665,-0.5990078000000001
410.083,-2.266474,1.638214,-0.5948475333333333
410.1,-2.265334,1.6395119999999999,-0.5896782666666667
410.117,-2.263834666666667,1.6406353333333332,-0.5842000000000002
410.133,-2.2619786666666664,1.6415499999999998,-0.5780351333333333
410.15,-2.2597653333333336,1.6422586666666665,-0.5719516
410.167,-2.257192666666667,1.64278,-0.5656531333333333
410.183,-2.2542653333333336,1.6431006666666665,-0.5586402666666667
410.2,-2.250993333333333,1.643192,-0.5518931333333333
410.217,-2.2473573333333334,1.643026,-0.5451939333333333
410.233,-2.2433246666666666,1.6426346666666665,-0.5383007333333333
410.25,-2.2389033333333335,1.6420160000000001,-0.5319698666666667
410.267,-2.2340980000000004,1.6411293333333332,-0.5257120666666667
410.283,-2.2288959999999998,1.6399913333333334,-0.5193185333333333
410.3,-2.2233080000000003,1.6385466666666666,-0.5128744666666667
410.317,-2.217332,1.636776,-0.506413
410.333,-2.2109526666666666,1.6347173333333336,-0.5002062666666667
410.35,-2.2041666666666666,1.6323753333333333,-0.4936046
410.367,-2.1969800000000004,1.6297146666666669,-0.4874597333333333
410.383,-2.1894006666666668,1.6267133333333335,-0.48211539999999997
410.4,-2.1814226666666667,1.6233653333333333,-0.47611986666666667
410.417,-2.173046,1.6196686666666666,-0.4702445333333333
410.433,-2.16427,1.6156446666666668,-0.46423159999999997
410.45,-2.1550966666666667,1.611272,-0.45887126666666667
410.467,-2.1455226666666665,1.6065526666666665,-0.453951
410.483,-2.135554,1.6014680000000001,-0.44881133333333334
410.5,-2.1252013333333335,1.59598,-0.44348926666666666
410.517,-2.114460666666667,1.5901013333333334,-0.4389282666666667
410.533,-2.1033306666666665,1.5838173333333334,-0.4341992
410.55,-2.091808,1.577152,-0.42872879999999997
410.567,-2.080264666666667,1.5704413333333336,-0.42638906666666665
410.583,-2.069084666666667,1.5639539999999998,-0.4238443333333333
410.6,-2.0582773333333333,1.5576546666666669,-0.4211062666666667
410.617,-2.0479873333333334,1.5519066666666668,-0.41843946666666665
410.633,-2.0383626666666665,1.5470473333333332,-0.41493853333333336
410.65,-2.02943,1.5430053333333333,-0.4117198
410.667,-2.021215333333333,1.5396919999999998,-0.40827446666666667
410.683,-2.0137359999999997,1.5370446666666666,-0.404917
410.7,-2.0068746666666666,1.535066,-0.40390980000000004
410.717,-2.0005286666666664,1.5337573333333334,-0.40286893333333335
410.733,-1.994725333333333,1.5330766666666666,-0.40158160000000004
410.75,-1.9894786666666666,1.5329653333333335,-0.40052600000000005
410.767,-1.9848139999999999,1.5333539999999999,-0.3986494
410.783,-1.9807306666666666,1.534248,-0.3985973333333333
410.8,-1.9772206666666667,1.5356226666666666,-0.3990831333333334
